yyyy  mm  dd  HH MIN   SEC          u          v          w          T
2008   5   9   5   0 19.50    2.47495    0.11574   -0.11628  288.18277
2008   5   9   5   0 19.60    2.57915    0.07800   -0.10877  288.10779
2008   5   9   5   0 19.70    2.41503    0.41019   -0.10795  288.07080
2008   5   9   5   0 19.80    2.24418    0.38759   -0.05582  288.08982
2008   5   9   5   0 19.90    2.37477    0.32604   -0.11510  288.07483
2008   5   9   5   0 20.00    2.09034    0.38263    0.01306  288.08785
2008   5   9   5   0 20.10    2.20700    0.33658   -0.00514  288.08987
2008   5   9   5   0 20.20    2.39861    0.16521   -0.02518  288.09288
2008   5   9   5   0 20.30    2.38291    0.24236    0.02614  288.12690
2008   5   9   5   0 20.40    2.42492    0.27950    0.00614  288.14191
2008   5   9   5   0 20.50    2.45010    0.12926   -0.01598  288.15493
2008   5   9   5   0 20.60    2.42212    0.11719    0.07423  288.09294
2008   5   9   5   0 20.70    2.48714    0.13795   -0.04477  288.09496
2008   5   9   5   0 20.80    2.41541   -0.02559    0.13356  288.08797
2008   5   9   5   0 20.90    2.45035   -0.05903    0.09235  288.07099
2008   5   9   5   0 21.00    2.39289   -0.11928   -0.00625  288.09300
2008   5   9   5   0 21.10    2.30575   -0.10609   -0.01534  288.08802
2008   5   9   5   0 21.20    2.26793    0.03953   -0.07742  288.09503
2008   5   9   5   0 21.30    2.36483    0.09942   -0.11456  288.13204
2008   5   9   5   0 21.40    2.19865    0.06959    0.09356  288.07106
2008   5   9   5   0 21.50    2.19230    0.07850   -0.00751  288.10607
2008   5   9   5   0 21.60    2.23572    0.11444    0.03255  288.09308
2008   5   9   5   0 21.70    2.14723    0.06324    0.14723  288.07510
2008   5   9   5   0 21.80    2.18562    0.04391    0.13530  288.07111
2008   5   9   5   0 21.90    2.18880    0.00426    0.10451  288.08812
2008   5   9   5   0 22.00    2.22453    0.01555    0.11164  288.07313
2008   5   9   5   0 22.10    2.20181    0.08124    0.17472  288.01915
2008   5   9   5   0 22.20    2.16725    0.06810    0.12654  288.02316
2008   5   9   5   0 22.30    2.14689   -0.13514    0.22624  288.03817
2008   5   9   5   0 22.40    2.17130   -0.07507    0.15506  288.02318
2008   5   9   5   0 22.50    2.11934    0.05547    0.00809  288.02119
2008   5   9   5   0 22.60    2.27595    0.17905   -0.18610  288.21420
2008   5   9   5   0 22.70    2.07752    0.31092   -0.34549  288.24621
2008   5   9   5   0 22.80    1.84484    0.35533   -0.14069  288.09322
2008   5   9   5   0 22.90    1.87710    0.35786   -0.14087  288.07324
2008   5   9   5   0 23.00    1.98779    0.29756   -0.11290  288.02525
2008   5   9   5   0 23.10    1.89503    0.32055   -0.16298  288.06226
2008   5   9   5   0 23.20    1.79955    0.10594   -0.11343  288.18127
2008   5   9   5   0 23.30    1.70547    0.23041    0.00863  288.27927
2008   5   9   5   0 23.40    1.78171    0.18918    0.03532  288.28828
2008   5   9   5   0 23.50    1.79158    0.08852    0.08578  288.22529
2008   5   9   5   0 23.60    1.85147    0.10750    0.06496  288.12930
2008   5   9   5   0 23.70    1.94288    0.10518   -0.09006  288.07331
2008   5   9   5   0 23.80    1.81564    0.34529   -0.06307  288.06032
2008   5   9   5   0 23.90    1.68344    0.33811   -0.09169  287.95633
2008   5   9   5   0 24.00    1.70291    0.36540    0.14770  287.95034
2008   5   9   5   0 24.10    1.81834    0.41227    0.38512  287.96934
2008   5   9   5   0 24.20    2.14268    0.54506    0.21352  288.04135
2008   5   9   5   0 24.30    1.80906    0.42008    0.39833  287.96936
2008   5   9   5   0 24.40    2.11310    0.23464   -0.28001  288.02337
2008   5   9   5   0 24.50    2.09317    0.22876   -0.05580  288.04537
2008   5   9   5   0 24.60    2.10329    0.36572   -0.11373  288.02538
2008   5   9   5   0 24.70    1.80629    0.28328   -0.06388  288.04539
2008   5   9   5   0 24.80    1.88934   -0.05086    0.02650  287.94339
2008   5   9   5   0 24.90    1.90929   -0.04373   -0.00364  287.95040
2008   5   9   5   0 25.00    2.04959    0.04305   -0.10399  288.30940
2008   5   9   5   0 25.10    2.04965   -0.12279   -0.13330  288.38141
2008   5   9   5   0 25.20    2.08610   -0.17431   -0.09321  288.21642
2008   5   9   5   0 25.30    1.85851    0.04629   -0.01516  288.00642
2008   5   9   5   0 25.40    1.87025    0.12470    0.35465  288.00643
2008   5   9   5   0 25.50    1.95252    0.24294    0.32784  287.97143
2008   5   9   5   0 25.60    1.85535    0.10710    0.26314  287.97144
2008   5   9   5   0 25.70    1.89892   -0.17034    0.32516  287.95244
2008   5   9   5   0 25.80    1.84107    0.04344    0.27637  287.98644
2008   5   9   5   0 25.90    1.83461   -0.23325    0.07717  288.19445
2008   5   9   5   0 26.00    1.96591   -0.33073    0.05450  288.30745
2008   5   9   5   0 26.10    1.90095   -0.27617    0.17568  288.17746
2008   5   9   5   0 26.20    2.04052   -0.08678    0.12587  288.26446
2008   5   9   5   0 26.30    2.09576    0.16115    0.12485  288.15546
2008   5   9   5   0 26.40    2.06042    0.11308    0.14553  288.17547
2008   5   9   5   0 26.50    1.97164    0.06122    0.14670  288.19647
2008   5   9   5   0 26.60    1.94123    0.11543    0.11388  288.14247
2008   5   9   5   0 26.70    1.82260   -0.10134    0.30418  288.12548
2008   5   9   5   0 26.80    1.89744   -0.27347    0.25617  288.22248
2008   5   9   5   0 26.90    1.91983   -0.33401    0.27362  288.35948
2008   5   9   5   0 27.00    1.93431   -0.11904    0.33579  288.27948
2008   5   9   5   0 27.10    1.87916    0.18943    0.21155  288.10849
2008   5   9   5   0 27.20    2.05906    0.07687    0.02677  288.14449
2008   5   9   5   0 27.30    2.09086   -0.04662   -0.03639  288.12949
2008   5   9   5   0 27.40    2.17039   -0.01218   -0.07636  288.09349
2008   5   9   5   0 27.50    2.16708    0.07128   -0.07636  288.13249
2008   5   9   5   0 27.60    2.20032    0.19704   -0.07654  288.11249
2008   5   9   5   0 27.70    2.30651    0.18913   -0.06539  288.18349
2008   5   9   5   0 27.80    2.25154    0.13118   -0.14422  288.19649
2008   5   9   5   0 27.90    2.25636    0.15173   -0.02340  288.20950
2008   5   9   5   0 28.00    2.31995    0.04744   -0.04498  288.24650
2008   5   9   5   0 28.10    2.23420   -0.10502    0.05286  288.17750
2008   5   9   5   0 28.20    2.37641   -0.16626    0.18250  288.14450
2008   5   9   5   0 28.30    2.34820    0.00397    0.08448  288.12350
2008   5   9   5   0 28.40    2.25115   -0.06653    0.02563  288.17750
2008   5   9   5   0 28.50    2.25494   -0.27578    0.01315  288.17950
2008   5   9   5   0 28.60    2.31313   -0.06075    0.03408  288.22549
2008   5   9   5   0 28.70    2.40981   -0.16835   -0.01696  288.22749
2008   5   9   5   0 28.80    2.40725   -0.35476   -0.18688  288.22949
2008   5   9   5   0 28.90    2.39352   -0.35153   -0.10845  288.22949
2008   5   9   5   0 29.00    2.45779   -0.18528   -0.08902  288.22949
2008   5   9   5   0 29.10    2.49959   -0.12846    0.03088  288.21249
2008   5   9   5   0 29.20    2.57562   -0.25841   -0.20830  288.46349
2008   5   9   5   0 29.30    2.52777   -0.34638   -0.27764  288.50249
2008   5   9   5   0 29.40    2.61550   -0.23007   -0.41874  288.53749
2008   5   9   5   0 29.50    2.50635   -0.21078   -0.42771  288.53748
2008   5   9   5   0 29.60    2.49685   -0.12235   -0.42767  288.36148
2008   5   9   5   0 29.70    2.35112   -0.08857   -0.39836  288.34248
2008   5   9   5   0 29.80    2.42441   -0.11750   -0.46833  288.35948
2008   5   9   5   0 29.90    2.47210   -0.24005   -0.37851  288.37948
2008   5   9   5   0 30.00    2.53782   -0.10833   -0.09760  288.19948
2008   5   9   5   0 30.10    2.36181   -0.14009   -0.13553  288.16047
2008   5   9   5   0 30.20    2.52142   -0.12078    0.13098  288.02347
2008   5   9   5   0 30.30    2.36755   -0.29624    0.19328  288.00447
2008   5   9   5   0 30.40    2.29847   -0.04546    0.24123  287.97147
2008   5   9   5   0 30.50    2.21024   -0.10476    0.20213  287.94747
2008   5   9   5   0 30.60    2.29929   -0.10773    0.45141  287.98446
2008   5   9   5   0 30.70    2.35135   -0.17270    0.46359  287.96546
2008   5   9   5   0 30.80    2.24326   -0.29426    0.36305  287.92846
2008   5   9   5   0 30.90    2.33097   -0.44363    0.16191  288.07345
2008   5   9   5   0 31.00    2.47302   -0.72283    0.15897  288.28845
2008   5   9   5   0 31.10    2.45179   -0.69886    0.19935  288.28845
2008   5   9   5   0 31.20    2.35429   -0.68793    0.00429  288.29244
2008   5   9   5   0 31.30    1.99551   -0.56229    0.39138  288.22944
2008   5   9   5   0 31.40    1.85050   -0.48081    0.51589  288.12143
2008   5   9   5   0 31.50    2.01863   -0.29229    0.42347  287.95443
2008   5   9   5   0 31.60    2.23291   -0.33894    0.39379  288.19443
2008   5   9   5   0 31.70    2.25459   -0.36153    0.08312  288.18342
2008   5   9   5   0 31.80    2.26331   -0.10963    0.40167  288.16042
2008   5   9   5   0 31.90    2.24989   -0.01838    0.26330  288.00441
2008   5   9   5   0 32.00    2.43334   -0.04465    0.12246  288.22741
2008   5   9   5   0 32.10    2.29037    0.14130    0.17373  288.07340
2008   5   9   5   0 32.20    2.22797    0.04847    0.26193  288.04339
2008   5   9   5   0 32.30    2.18104   -0.03765    0.18159  288.20939
2008   5   9   5   0 32.40    2.71042   -0.25856   -0.06797  288.31438
2008   5   9   5   0 32.50    2.70459   -0.20821   -0.04011  288.34838
2008   5   9   5   0 32.60    2.62947   -0.20121   -0.04046  288.34637
2008   5   9   5   0 32.70    2.74265   -0.10201   -0.29887  288.34237
2008   5   9   5   0 32.80    2.76966   -0.18650   -0.23603  288.34436
2008   5   9   5   0 32.90    2.90723   -0.29106   -0.38690  288.34436
2008   5   9   5   0 33.00    2.86584   -0.26027   -0.39914  288.36135
2008   5   9   5   0 33.10    2.88480   -0.15143   -0.33772  288.29034
2008   5   9   5   0 33.20    2.82452   -0.08839   -0.26858  288.17934
2008   5   9   5   0 33.30    2.81791    0.10094   -0.35204  288.29233
2008   5   9   5   0 33.40    2.79741    0.16638   -0.16957  288.12933
2008   5   9   5   0 33.50    2.48935    0.35954    0.20042  288.07132
2008   5   9   5   0 33.60    2.46164    0.10218    0.51183  288.00632
2008   5   9   5   0 33.70    2.26339    0.10597    0.27334  287.95031
2008   5   9   5   0 33.80    2.31806   -0.07116    0.32285  287.94130
2008   5   9   5   0 33.90    2.23113   -0.09781    0.30278  287.94330
2008   5   9   5   0 34.00    2.48012   -0.09314    0.02244  288.22029
2008   5   9   5   0 34.10    2.55350    0.03986    0.05941  288.17928
2008   5   9   5   0 34.20    2.60215    0.17506    0.07160  288.12728
2008   5   9   5   0 34.30    2.24923    0.04458   -0.09578  288.14427
2008   5   9   5   0 34.40    2.23116   -0.23331    0.07276  288.10626
2008   5   9   5   0 34.50    2.23779   -0.23086   -0.13602  288.12726
2008   5   9   5   0 34.60    2.17584   -0.16527   -0.06833  288.13225
2008   5   9   5   0 34.70    2.35820    0.02580    0.09114  288.10324
2008   5   9   5   0 34.80    2.62367    0.14444    0.01066  288.19423
2008   5   9   5   0 34.90    2.68884   -0.08681   -0.04095  288.14223
2008   5   9   5   0 35.00    2.69043   -0.05555   -0.04902  288.11222
2008   5   9   5   0 35.10    2.81827   -0.03760    0.07848  288.03821
2008   5   9   5   0 35.20    2.59198   -0.07389    0.14409  288.08420
2008   5   9   5   0 35.30    2.43325    0.06248    0.22254  288.16020
2008   5   9   5   0 35.40    2.40230   -0.07348    0.34940  288.04519
2008   5   9   5   0 35.50    2.38968   -0.17172    0.22275  288.10818
2008   5   9   5   0 35.60    2.57436   -0.32263   -0.01918  288.20917
2008   5   9   5   0 35.70    2.67428   -0.40937    0.03011  288.17716
2008   5   9   5   0 35.80    2.65427   -0.24740   -0.01814  288.12316
2008   5   9   5   0 35.90    2.45395   -0.33994    0.00926  288.14715
2008   5   9   5   0 36.00    2.33399   -0.39179    0.07285  288.17714
2008   5   9   5   0 36.10    2.31969   -0.51992    0.02384  288.12713
2008   5   9   5   0 36.20    2.38842   -0.60318   -0.08785  288.07512
2008   5   9   5   0 36.30    2.35054   -0.67793   -0.23635  288.07311
2008   5   9   5   0 36.40    2.70417   -0.54698   -0.20008  288.35911
2008   5   9   5   0 36.50    2.88330   -0.41439   -0.08088  288.29610
2008   5   9   5   0 36.60    2.82660   -0.41306   -0.10990  288.29209
2008   5   9   5   0 36.70    2.56011   -0.80801    0.12950  288.26608
2008   5   9   5   0 36.80    2.35482   -0.91951   -0.03864  288.24807
2008   5   9   5   0 36.90    2.53224   -0.85070    0.15160  288.19406
2008   5   9   5   0 37.00    2.63712   -1.01866    0.06902  288.10805
2008   5   9   5   0 37.10    2.90342   -0.36928    0.20754  288.07105
2008   5   9   5   0 37.20    3.07543   -0.38677    0.03600  288.09004
2008   5   9   5   0 37.30    3.16410   -0.35915    0.29921  288.10603
2008   5   9   5   0 37.40    3.09391   -0.36897    0.24609  288.09002
2008   5   9   5   0 37.50    3.08612   -0.44524    0.30838  288.04501
2008   5   9   5   0 37.60    2.97763   -0.62498    0.42979  288.05800
2008   5   9   5   0 37.70    3.15319   -0.69855    0.02970  288.62299
2008   5   9   5   0 37.80    3.36693   -0.61676   -0.26218  288.63898
2008   5   9   5   0 37.90    3.48973   -0.70365   -0.40198  288.68197
2008   5   9   5   0 38.00    3.44288   -0.79208   -0.46254  288.68196
2008   5   9   5   0 38.10    3.43458   -0.70044   -0.31308  288.60395
2008   5   9   5   0 38.20    3.33447   -0.50476   -0.28182  288.60795
2008   5   9   5   0 38.30    3.24462   -0.56316   -0.27184  288.53694
2008   5   9   5   0 38.40    3.13414   -0.50441   -0.21268  288.53693
